Unit,Level,Feature,8,7,6,5,4,Total Frag,Mean Bore,Binford Date,,,
D3,5,,1,,1,5,,7,5.571428571,1718.687143,,,
D4,1,,,,3,8,1,12,5.166666667,1734.173333,,,
D5,1,,,1,5,8,,14,5.5,1721.42,,,
D5,2,,,,,1,,1,5,1740.55,,,
D5,3a,,,,1,2,,3,5.333333333,1727.796667,,,
D5,4,,,,3,3,,6,5.5,1721.42,,,
D5,5,,,,8,3,,11,5.727272727,1712.724545,,,
D6,1,,,,2,9,1,12,5.083333333,1737.361667,,,
D6,2,,,,,5,,5,5,1740.55,,,
D6,3a,,,,1,8,,9,5.111111111,1736.298889,,,
D6,4,,,1,4,21,,26,5.230769231,1731.720769,,,
D6,5,,2,,13,6,,21,5.904761905,1705.93381,,,
D7,1,,,2,6,11,,19,5.526315789,1720.413158,,,
D7,2,,,,3,8,,11,5.272727273,1730.115455,,,
D7,3a,,,1,3,3,,7,5.714285714,1713.221429,,,
D7,4,,,1,3,2,,6,5.833333333,1708.666667,,,
D7,5,,,,11,11,,22,5.5,1721.42,,,
D8,1,,,,2,8,1,11,5.090909091,1737.071818,,,
D8,2,,,,,1,,1,5,1740.55,,,
D8,4,,1,7,23,,,31,6.290322581,1691.182258,,,
D8,5,,1,15,9,,,25,6.68,1676.2732,,,
D9,1,,,,5,10,,15,5.333333333,1727.796667,,,
